2010.4,2.616,3.608,-4.204,-0.923,1.3306
2010.5,2.654,3.626,-4.234,-0.932,1.2946
2010.6,2.688,3.593,-4.354,-0.968,1.4096
2010.7,2.735,3.633,-4.492,-0.969,1.5076
2010.8,2.813,3.725,-4.607,-0.905,1.5966
2010.8,2.871,3.766,-4.62,-0.925,1.5376
2010.9,2.923,3.873,-4.653,-0.85954,1.5936
2011,3.085,3.981,-4.801,-0.69354,1.5476
2011.1,3.154,3.958,-5.024,-0.88554,1.701
2011.2,3.212,3.944,-5.15,-0.87454,1.7724
2011.3,3.217,3.973,-5.175,-0.81154,1.7798
2011.3,3.279,4.057,-5.308,-0.88354,1.8402
2011.4,3.303,4.055,-5.37,-0.86454,1.9106
2011.5,3.318,4.118,-5.471,-0.84354,1.984
2011.6,3.389,4.206,-5.528,-0.84154,2.0354
2011.7,3.462,4.33,-5.584,-0.85254,2.0918
2011.8,3.478,4.339,-5.522,-0.82254,2.1932
2011.8,3.512,4.364,-5.481,-0.74954,2.2356
2011.9,3.534,4.285,-5.519,-0.88554,2.3181
2012,3.567,4.319,-5.853,-1.1165,2.3695
2012.1,3.585,4.299,-5.8047,-1.0065,2.3849
2012.2,3.64,4.3961,-5.6927,-1.0785,2.4513
2012.3,3.74,4.5001,-5.6707,-0.89854,2.4947
2012.3,3.797,4.5931,-5.6957,-0.73954,2.4371
2012.4,3.851,4.7201,-5.6217,-0.68454,2.3765
2012.5,3.905,4.8471,-5.5817,-0.63354,2.3579
2012.6,3.962,5.0111,-5.5957,-0.63554,2.3343
2012.7,4.014,5.1371,-5.5907,-0.64054,2.2967
2012.8,4.056,5.2231,-5.4467,-0.65454,2.2961
2012.8,4.108,5.2771,-5.6187,-0.65354,2.1645
2012.9,4.162,5.4231,-5.6657,-0.44954,1.9669
2013,4.297,5.5791,-5.6547,-0.28254,1.9669
2013.1,4.314,5.6511,-5.6987,-0.44354,1.9669
2013.2,4.357,5.7491,-5.8287,-0.55854,1.9669
2013.3,4.519,5.9441,-6.0457,-0.55954,1.9669
2013.3,4.566,5.9021,-6.0817,-0.53654,1.9669
2013.4,4.479,5.8001,-6.1697,-0.51754,1.9669
2013.5,4.518,5.8921,-6.2557,-0.46654,1.9669
2013.6,4.573,5.9971,-6.3997,-0.49254,1.9669
2013.7,4.622,6.0591,-6.4867,-0.53554,1.9669
2013.8,4.7,6.0371,-6.4167,-0.42254,1.8433
2013.8,4.719,6.1251,-6.4537,-0.39954,1.7947
2013.9,4.696,6.0571,-6.6317,-0.48754,1.8051
2014,4.732,6.1441,-6.6867,-0.62954,1.8605
2014.1,4.774,6.2711,-6.6187,-0.61554,1.9289
2014.2,4.723,6.3601,-6.5147,-0.56954,1.9643
2014.3,4.744,6.4321,-6.4787,-0.49654,1.9577
2014.3,4.751,6.4261,-6.2947,-0.30654,1.9891
2014.4,4.818,6.5731,-6.1867,-0.18954,2.0115
2014.5,4.779,6.5171,-6.0777,-0.21454,2.0519
2014.6,4.7315,6.4971,-5.9467,-0.15454,2.0703
2014.7,4.7675,6.5831,-5.8637,-0.12954,2.0547
2014.8,4.7775,6.6041,-5.9157,-0.056544,2.0311
2014.8,4.8105,6.6251,-5.7797,0.12146,2.0535
2014.9,4.8065,6.4181,-5.9177,0.081456,1.9639
2015,4.7875,6.3421,-5.7027,0.28546,1.8763
2015.1,4.6505,6.2861,-5.8697,0.012456,1.8937
2015.2,4.4745,6.1481,-6.0367,-0.092544,1.8431
2015.3,4.2815,5.9261,-6.2617,-0.16654,1.9375
2015.3,4.1835,5.8231,-6.2417,-0.30454,1.9819
2015.4,4.0955,5.8021,-6.2817,-0.29754,2.0233
2015.5,4.0511,5.8111,-6.2657,-0.27654,2.0097
2015.6,4.0731,5.9201,-6.1867,-0.15854,1.8131
2015.7,4.0761,5.9401,-6.1207,-0.087544,1.7555
2015.8,4.0321,5.9391,-6.0157,0.0044561,1.6549
2015.8,3.9941,5.9721,-6.0567,0.10846,1.7433
2015.9,3.9261,6.0091,-6.1167,0.109,1.8177
2016,3.7991,6.0521,-5.9827,0.172,1.9442
2016.1,3.8101,6.2151,-5.6697,0.373,1.9442
2016.2,3.7891,6.3811,-5.2997,0.501,1.9442
2016.3,3.8091,6.4551,-5.1127,0.538,1.9442
2016.3,3.8151,6.4691,-5.0537,0.499,1.9442
2016.4,3.7741,6.4991,-5.0767,0.469,1.9442
2016.5,3.7391,6.5781,-5.0047,0.449,1.9442
2016.6,3.7051,6.6191,-4.9527,0.425,1.9442
2016.7,3.6351,6.5611,-5.0287,0.441,1.9442
2016.8,3.6171,6.5931,-5.1677,0.426,1.9442
2016.8,3.5801,6.7651,-5.2297,0.632,1.9442
2016.9,3.6241,6.8381,-4.9617,0.872,1.9442
2017,3.6861,6.8771,-4.8083,1.038,1.9442
