   0  63  1994.4271240    466748 337740.00    -14.90     81.03    -14.40    -14.23     80.91    -13.73     -9.60
   0  64  1994.4543457    464047 336759.50    -11.94     81.64    -14.29    -11.27     81.55    -13.62     -9.56
 999  65  1994.4814453    472085 348365.69    -20.42     88.12    -14.00    -19.75     88.02    -13.32     -9.52
   0  66  1994.5086670    443222 323960.41    -16.59     80.81    -13.57    -15.92     80.74    -12.89     -9.58
   0  67  1994.5357666    459731 335561.50    -12.46     81.40    -13.02    -11.76     81.33    -12.33     -9.71
   0  68  1994.5629883    452829 333458.00    -11.85     84.97    -12.39    -11.16     84.94    -11.69     -9.96
   0  69  1994.5900879    452675 332563.00    -11.89     86.34    -11.67    -11.19     86.34    -10.97    -10.29
   0  70  1994.6173096    454722 335025.59    -12.12     86.93    -10.83    -11.41     86.93    -10.12    -10.59
   0  71  1994.6444092    452845 334183.81     -9.91     87.68     -9.77     -9.19     87.71     -9.05    -10.69
   0  72  1994.6716309    449392 332939.91     -9.29     89.36     -8.88     -8.56     89.44     -8.15    -10.92
   0  73  1994.6987305    443927 328112.00     -5.74     91.02     -7.87     -5.00     91.14     -7.14    -10.93
   0  74  1994.7259521    449120 331544.69     -6.84     92.79     -7.08     -6.10     92.90     -6.34    -10.96
   0  75  1994.7530518    444289 328194.09     -7.54     90.08     -6.47     -6.79     90.19     -5.72    -10.93
   0  76  1994.7802734    442744 325109.00     -5.68     90.00     -6.04     -4.91     90.10     -5.28    -10.82
   0  77  1994.8074951    455369 333748.59     -3.73     90.30     -5.90     -2.97     90.39     -5.13    -10.71
   0  78  1994.8345947    456111 334889.41     -5.17     92.23     -6.20     -4.40     92.30     -5.43    -10.79
 999  79  1994.8618164    404620 301112.81      0.88    100.26     -6.90      1.66    100.36     -6.12    -11.01
   0  80  1994.8889160    456508 331610.50     -8.14     93.89     -7.57     -7.34     93.94     -6.78    -11.01
   0  81  1994.9161377    464565 336703.00    -11.20     90.49     -7.78    -10.40     90.50     -6.98    -10.42
   0  82  1994.9432373    470290 339761.59     -7.79     88.63     -7.52     -6.99     88.64     -6.71     -9.28
   0  83  1994.9704590    468176 338267.81     -5.88     89.78     -7.07     -5.07     89.77     -6.26     -7.95
   0  84  1994.9975586    467210 337461.69     -5.32     92.31     -7.01     -4.50     92.27     -6.19     -7.06
   0  85  1995.0247803    466769 337298.59     -5.66     92.99     -7.12     -4.83     92.95     -6.29     -6.42
   0  86  1995.0518799    467920 338326.09     -7.91     88.07     -7.35     -7.08     87.97     -6.51     -6.02
   0  87  1995.0791016    467041 337986.41     -5.16     90.84     -8.17     -4.32     90.70     -7.33     -6.34
   0  88  1995.1063232    464873 335744.00    -10.12     87.59     -9.06     -9.27     87.42     -8.21     -6.85
   0  89  1995.1334229    466028 337020.91    -14.52     86.91     -9.67    -13.67     86.74     -8.82     -7.19
   0  90  1995.1606445    467183 337376.91     -9.86     87.30     -9.64     -9.00     87.18     -8.78     -6.94
